eligible,should_stop,task_id,tier,group_key,run_index,auc_cv_pct,brier_cv_pct,coverage_cv_pct,flip_mean,ret_delta,dd_delta,metrics_ok,flip_ok,perf_ok
False,False,core_symbol_BTCUSDT_001,core_symbol,core_symbol::BTCUSDT,1,,,,,,,,,
False,False,core_symbol_BTCUSDT_002,core_symbol,core_symbol::BTCUSDT,2,,,,,,,,,
False,False,core_symbol_BTCUSDT_004,core_symbol,core_symbol::BTCUSDT,4,,,,,,,,,
False,False,core_symbol_BTCUSDT_005,core_symbol,core_symbol::BTCUSDT,5,,,,,,,,,
False,False,core_symbol_BTCUSDT_006,core_symbol,core_symbol::BTCUSDT,6,,,,,,,,,
False,False,core_symbol_BTCUSDT_007,core_symbol,core_symbol::BTCUSDT,7,,,,,,,,,
False,False,core_symbol_BTCUSDT_008,core_symbol,core_symbol::BTCUSDT,8,,,,,,,,,
False,False,core_symbol_BTCUSDT_009,core_symbol,core_symbol::BTCUSDT,9,,,,,,,,,
False,False,core_symbol_BTCUSDT_010,core_symbol,core_symbol::BTCUSDT,10,,,,,,,,,
True,False,core_symbol_BTCUSDT_011,core_symbol,core_symbol::BTCUSDT,11,2.898084754445581,,,,,,False,False,True
True,False,core_symbol_BTCUSDT_012,core_symbol,core_symbol::BTCUSDT,12,2.7938118105409044,,,,,,False,False,True
True,False,core_symbol_BTCUSDT_013,core_symbol,core_symbol::BTCUSDT,13,2.919719592924975,,,,,,False,False,True
True,False,core_symbol_BTCUSDT_014,core_symbol,core_symbol::BTCUSDT,14,2.804251513043928,,,,,,False,False,True
True,False,core_symbol_BTCUSDT_015,core_symbol,core_symbol::BTCUSDT,15,2.222985997856173,,,,,,False,False,True
True,False,core_symbol_BTCUSDT_017,core_symbol,core_symbol::BTCUSDT,17,2.3641292962653804,,,,,,False,False,True
True,False,core_symbol_BTCUSDT_018,core_symbol,core_symbol::BTCUSDT,18,2.502413369310735,,,,,,False,False,True
True,False,core_symbol_BTCUSDT_019,core_symbol,core_symbol::BTCUSDT,19,2.417831640812207,,,,,,False,False,True
True,False,core_symbol_BTCUSDT_020,core_symbol,core_symbol::BTCUSDT,20,1.9343814455710464,,,,,,False,False,True
True,False,core_symbol_BTCUSDT_021,core_symbol,core_symbol::BTCUSDT,21,1.8358282132322876,,,,,,False,False,True
True,False,core_symbol_BTCUSDT_022,core_symbol,core_symbol::BTCUSDT,22,1.7406101362453976,,,,,,False,False,False
